id,date,timestamp,latitude,longitude,depth,size,location,attribute
230,2023.02.06 13:24:46,1675689886,38.0717,37.2063,5.0,"{'md': 0.0, 'ml': 7.5, 'mw': 0.0}",EKINOZU (KAHRAMANMARAS),REVIZE01
232,2023.02.06 13:09:13,1675688953,37.3233,36.9377,9.0,"{'md': 0.0, 'ml': 3.7, 'mw': 0.0}",HACIBEBEK-TURKOGLU (KAHRAMANMARAS),İlksel
239,2023.02.06 12:36:15,1675686975,37.2783,36.7473,5.0,"{'md': 0.0, 'ml': 4.7, 'mw': 4.4}",SEKEROBA-TURKOGLU (KAHRAMANMARAS),İlksel
244,2023.02.06 12:05:50,1675685150,37.4897,37.0945,12.0,"{'md': 0.0, 'ml': 3.5, 'mw': 0.0}",CIGLI-(KAHRAMANMARAS),İlksel
245,2023.02.06 12:05:17,1675685117,37.2672,36.8763,6.4,"{'md': 0.0, 'ml': 3.6, 'mw': 0.0}",MINEHUYUK-TURKOGLU (KAHRAMANMARAS),İlksel
249,2023.02.06 11:52:36,1675684356,37.4928,37.1302,5.0,"{'md': 0.0, 'ml': 4.7, 'mw': 0.0}",KARTAL-(KAHRAMANMARAS),İlksel
250,2023.02.06 11:45:33,1675683933,37.36,37.0698,10.3,"{'md': 0.0, 'ml': 3.7, 'mw': 0.0}",ARSLANBEY-PAZARCIK (KAHRAMANMARAS),İlksel
254,2023.02.06 11:33:58,1675683238,37.335,36.8778,5.4,"{'md': 0.0, 'ml': 3.1, 'mw': 0.0}",HACIBEBEK-TURKOGLU (KAHRAMANMARAS),İlksel
258,2023.02.06 11:22:55,1675682575,37.3668,37.1885,16.4,"{'md': 0.0, 'ml': 2.7, 'mw': 0.0}",AKCAKOYUNLU-PAZARCIK (KAHRAMANMARAS),İlksel
259,2023.02.06 11:12:50,1675681970,37.2453,37.0343,22.3,"{'md': 0.0, 'ml': 3.1, 'mw': 0.0}",KARAHUYUK-PAZARCIK (KAHRAMANMARAS),İlksel
262,2023.02.06 11:06:33,1675681593,37.4627,37.0797,16.7,"{'md': 0.0, 'ml': 2.7, 'mw': 0.0}",CINARLI-PAZARCIK (KAHRAMANMARAS),İlksel
263,2023.02.06 11:04:34,1675681474,37.5377,37.3382,5.7,"{'md': 0.0, 'ml': 3.1, 'mw': 0.0}",SAHINTEPE-PAZARCIK (KAHRAMANMARAS),REVIZE01
268,2023.02.06 10:49:09,1675680549,37.7408,37.3137,8.9,"{'md': 0.0, 'ml': 3.3, 'mw': 3.6}",CAGLAYANCERIT (KAHRAMANMARAS),İlksel
